Ticker,2-Year Average Annual Returns,Variance of Daily Returns
INDA,0.07673683113165929,0.0001415646479142737
VSS,0.0031468104456555106,6.344499245188808e-05
PGX,0.039492681527197926,7.638874841045193e-06
VTEB,0.03342132192809089,1.611163352084095e-06
ITA,0.16184520953548912,0.00011460693471876098
EMLC,-0.014898656367562732,2.9580976879767153e-05
GSLC,0.09985314545290086,7.3988014026988e-05
BKLN,0.02753444314358879,3.937729634202777e-06
VDC,0.028789170380205543,5.6781061029893694e-05
SPYG,0.12820536186864975,9.77367029519604e-05
VGSH,0.016856713764776668,3.2344771459377933e-07
FNDX,0.07828519181243136,6.670608779069753e-05
OEF,0.09782862688406255,8.277177288430087e-05
DBEF,0.04187041765743588,5.556622474346004e-05
SPDW,0.01278591573499526,5.659286624590484e-05
NOBL,0.09879539393772636,6.16211285462245e-05
SPIB,0.025357546705299307,1.6971217778476635e-06
SLV,-0.08068014308724968,9.838489508668692e-05
ACWV,0.08034038047886731,2.9999910078075097e-05
FTSM,0.020017549548231657,5.372165803070617e-08
EWY,-0.04959509373146645,0.00016859027696223462
IDV,0.008913822751804171,5.3025389448183536e-05
BBEU,-0.014425491854938638,4.0294373252667744e-05
IYR,0.08708122042166072,6.829687507178284e-05
FNDF,0.01616753030306549,5.811253020690351e-05
MGK,0.11428111770594294,0.00010703729108124496
FLRN,0.022755605461089862,2.7683642019856037e-07
SCHR,0.023395541356589996,3.0601582312041707e-06
XBI,0.11797901276185663,0.0003171461937318847
MCHI,0.05067990958773136,0.0002069990543058932
AAXJ,0.02574420378825859,0.00012321653115870854
IYW,0.14354936797259696,0.0001675764891002137
SPAB,0.028467130763967074,2.4845006463736293e-06
CWB,0.06796519071812035,4.913654585063371e-05
VGIT,0.023539470339421564,3.0842805131782308e-06
VPL,0.019117569588115314,6.641443707524083e-05
EFG,0.03699835164640686,5.9981444231659745e-05
VPU,0.0893369634488077,6.538390277035853e-05
DON,0.07178285486198031,6.253247210100338e-05
VCLT,0.044561256889528104,1.607552233259538e-05
BBCA,-0.0018482458191571745,2.954285901530819e-05
FPE,0.03538759958808383,3.868535794934295e-06
GDXJ,-0.009700077518664555,0.00027567716648491185
BBJP,-0.04454536829048204,4.02428177805566e-05
ACWX,0.023644137342054165,6.500367941045845e-05
SHM,0.012364579103587943,6.525795968394255e-07
HEDJ,0.02343718208509018,6.831184934782711e-05
IUSB,0.028177679444851833,2.259240711785699e-06
TQQQ,0.3196445345965801,0.0012688971273924004
VIS,0.07480038987059302,0.00010202094238534842
IHI,0.1728488253317239,0.00011549818966302286
VDE,-0.004777904616160574,0.000161118504288995
IEUR,0.014222857240482658,6.300906430149564e-05
TOTL,0.02479671534944243,2.245350262621016e-06
SJNK,0.03500866967556572,4.576418507118766e-06
SPTM,0.09739447312311285,7.54903737623969e-05
BLV,0.04774646788500878,1.871192102827459e-05
XLB,0.05173195271345526,0.00011027715030228688
PCY,0.01822247608878931,1.159474421151076e-05
SPHD,0.04802915496717954,5.058619023321786e-05
USIG,0.03836966772089238,3.61141349474076e-06
FNDA,0.05185817971129361,8.260523853172574e-05
GBIL,0.016505118685959552,4.478694418084632e-08
VLUE,0.060700861218558375,8.507122390626876e-05
