ACWI,iShares MSCI ACWI ETF,10279363.57,Equity,Global
FLOT,iShares Floating Rate Bond ETF,10182378.19,Fixed Income,Global
XLI,Industrial Select Sector SPDR Fund,9803508.41,Equity,NA
GDX,VanEck Vectors Gold Miners ETF,9732022.19,Equity,Global
SCZ,iShares MSCI EAFE Small-Cap ETF,9245176.17,Equity,Developed
SCHD,Schwab US Dividend Equity ETF,9185804.76,Equity,NA
IWV,iShares Russell 3000 ETF,9053818.36,Equity,NA
XLU,Utilities Select Sector SPDR Fund,9046879.16,Equity,NA
VOE,Vanguard Mid-Cap Value ETF,8921926.93,Equity,NA
VHT,Vanguard Healthcare ETF,8919274.05,Equity,NA
VMBS,Vanguard Mortgage-Backed Securities ETF,8830468.32,Equity,NA
MTUM,iShares Edge MSCI USA Momentum Factor ETF,8825330.82,Equity,NA
IWO,iShares Russell 2000 Growth ETF,8750682.37,Equity,NA
EWZ,iShares MSCI Brazil ETF,8644048.89,Equity,SA
AMLP,Alerian MLP ETF,8637448.79,Equity,NA
VBK,Vanguard Small Cap Growth ETF,8609810.79,Equity,NA
BIL,SPDR Barclays 1-3 Month T-Bill ETF,8595417.94,Fixed Income,
IWN,iShares Russell 2000 Value ETF,8543084.99,Equity,NA
FDN,First Trust Dow Jones Internet Index,8463003.61,Equity,NA
SCHA,Schwab U.S. Small-Cap ETF,7997839.14,Equity,NA
