 ,SPY,IVV,VTI,VEA,QQQ,AGG,EFA,VWO
SPY,7.677655586874876e-05,7.66770655460503e-05,7.728922712047905e-05,7.427103575342006e-05,8.426333238622613e-05,-1.7273138194090545e-06,7.502150238246802e-05,8.750527546675173e-05
IVV,7.66770655460503e-05,7.676561499408666e-05,7.73466614715839e-05,7.399092204946366e-05,8.474174039196167e-05,-1.7583085672523275e-06,7.476915283418144e-05,8.691848746536768e-05
VTI,7.728922712047905e-05,7.73466614715839e-05,7.868334248782504e-05,7.37978452876794e-05,8.594512767300837e-05,-1.682696223260747e-06,7.454365749102832e-05,8.76076506439482e-05
VEA,7.427103575342006e-05,7.399092204946366e-05,7.37978452876794e-05,0.0001110163238835533,7.314004827711987e-05,-4.521809681420452e-06,0.00011087000633216292,0.00010741035793217093
QQQ,8.426333238622613e-05,8.474174039196167e-05,8.594512767300837e-05,7.314004827711987e-05,0.0001129835654387739,-5.794570556106775e-07,7.499463577748496e-05,9.15890103427658e-05
AGG,-1.7273138194090545e-06,-1.7583085672523275e-06,-1.682696223260747e-06,-4.521809681420452e-06,-5.794570556106775e-07,4.3996255375425026e-06,-4.389278263370022e-06,-5.724973493883437e-07
EFA,7.502150238246802e-05,7.476915283418144e-05,7.454365749102832e-05,0.00011087000633216292,7.499463577748496e-05,-4.389278263370022e-06,0.00011228730049405292,0.00010708117562439843
VWO,8.750527546675173e-05,8.691848746536768e-05,8.76076506439482e-05,0.00010741035793217093,9.15890103427658e-05,-5.724973493883437e-07,0.00010708117562439843,0.00015511767431466476
