Ticker,2-Year Average Annual Returns,Variance of Daily Returns
VOE,0.04885531200937919,0.01624159693226326
VMBS,0.02259486616543475,0.000511992292157504
GDX,0.0067416181007226616,0.0524959562569668
FDN,0.19957025062130113,0.04746623792359987
MTUM,0.14450626771589817,0.028449199504146386
AMLP,-0.0035319008997711865,0.04057083723729105
IWN,0.03314515611009205,0.021350284000931904
VBK,0.11776094637238448,0.0275154153482968
JNK,0.03365363854703231,0.002062398743008891
EWZ,0.1659980311627649,0.08659411401736902
SCHA,0.06786440884718864,0.023597603171455275
BIL,0.015624972250245167,5.1244821346453e-06
SCHG,0.12816514791691877,0.02501428604345828
VFH,0.0962524312267874,0.02629571429455594
IBB,0.051923605416201266,0.046483176801036426
IJK,0.07065141378836991,0.02097787883874737
JPST,0.023751805340744784,2.7507942128139574e-05
DGRO,0.11283542695228034,0.015987108830081368
IEI,0.021514494399737003,0.0005808944777771296
HDV,0.08266271484805111,0.013323139653132187
VXF,0.08316717258750395,0.022392277880618098
EZU,0.002653201865331021,0.019751870497030307
SCHP,0.02461679342096368,0.000992034393711127
FVD,0.08171355150683059,0.009966637460955895
NEAR,0.020725147831795118,2.0253327699751257e-05
IGIB,0.04379740066686499,0.0005127963627201494
SCHZ,0.027344335253164306,0.0005419299087417373
IJJ,0.04951571083419869,0.02037272813005009
IUSG,0.12508487992600686,0.02388374019783928
VTIP,0.016913470039090488,0.0001685797991090818
VOT,0.11155523360556259,0.02307764909219109
IJS,0.048506696538137654,0.02509363528864641
SCHM,0.09036471399168564,0.019499761828023387
VNQI,0.052317041911348186,0.012763055476914139
EFV,-0.001449248181574042,0.014916448587378967
SCHE,0.04341805862102305,0.030013522501443884
SCHV,0.07444145786289143,0.015326091114516788
SCHH,0.07800177688071384,0.020033273022702955
SCHO,0.0168842777535326,8.184379105987313e-05
GUNR,0.07419311110195341,0.02044402488525949
IJT,0.08491987172761727,0.026810960524382296
EEMV,0.047440764397177856,0.015041698407551474
IUSV,0.06722754360696372,0.01624335404648704
FXI,0.03464806310878902,0.044382727469163795
SPSB,0.018236805884647732,9.310800451716915e-05
PRF,0.06796509787505124,0.016575845196154865
XLC,-0.02689436243627811,0.02021924512807822
INDA,0.07741992334255014,0.035386036428912006
VSS,0.003834996628725204,0.01587677815951911
PGX,0.03983403996994802,0.001912194260727343
VTEB,0.03342132192809089,0.00040279083802102376
ITA,0.16289790234327636,0.02869218728782243
EMLC,-0.014295113085663199,0.007400088179935753
GSLC,0.1012958679279202,0.01855563646407263
BKLN,0.02753444314358879,0.0009844324085506943
VDC,0.02971785433185897,0.01420902159438732
SPYG,0.12944035939316598,0.02447970653744308
VGSH,0.016856713764776668,8.086192864844483e-05
FNDX,0.07964057193963112,0.016734179630328846
OEF,0.09930467408214766,0.020753757329007236
DBEF,0.04251631485385445,0.013905635489686924
SPDW,0.013133359211153363,0.014155968191680033
NOBL,0.10000413178273407,0.015443714867617224
SPIB,0.02521331632438111,0.0004243516158093937
SLV,-0.08103848331265998,0.024594697153855604
ACWV,0.08111283279869612,0.007506351476701592
FTSM,0.020100289333922383,1.340330936039995e-05
EWY,-0.04898062441876613,0.04215531516131325
IDV,0.00924417695096943,0.01326688403063897
BBEU,-0.013998500538234055,0.010083933686547744
IYR,0.08822103900357599,0.017062679327172352
FNDF,0.016727235137124218,0.014546373820096036
MGK,0.11565386548442107,0.026821029632529757
FLRN,0.022755605461089862,6.92091050496401e-05
SCHR,0.023213749881592104,0.0007657397711469845
XBI,0.11971078242263757,0.07937731701255689
MCHI,0.050412119774884294,0.05174992026808472
AAXJ,0.025669317861990077,0.030803842970426782
IYW,0.14549420851623213,0.04200777466419715
SPAB,0.028467130763967074,0.0006211251615934073
CWB,0.06865521952583724,0.01229952843444232
VGIT,0.023387917391519738,0.0007717005883807632
VPL,0.019742749327290327,0.016615725216384852
EFG,0.0375123973013717,0.015001466956406681
VPU,0.09093106436450475,0.016344336036899967
DON,0.07279629070483176,0.01567601222511165
VCLT,0.04429441597218457,0.0040199230300799645
BBCA,-0.001430583724498239,0.007396270513708446
FPE,0.03486770639494144,0.0009651007222282571
GDXJ,-0.007939872489982782,0.06891771254799216
BBJP,-0.043188631549870224,0.010093342963120472
ACWX,0.024084268307424196,0.016259036820177715
SHM,0.012466406166207051,0.00016290482687361595
HEDJ,0.024220504216917026,0.01710156329681797
IUSB,0.02808052973948744,0.0005650033283025335
TQQQ,0.3239793003056653,0.3178792541982753
VIS,0.07593254907934964,0.025560818047814998
IHI,0.17366135174447486,0.028902922074836586
VDE,-0.003346652389941049,0.040327254671487726
IEUR,0.01466221007375925,0.01576291688737274
TOTL,0.025307630123953328,0.0005613402147644965
SJNK,0.035194888443884936,0.001146918538686152
SPTM,0.0987039464936624,0.018927258594097923
BLV,0.04800794615344536,0.00467498534554939
XLB,0.05337619496076164,0.02765580039664752
PCY,0.018400938527799858,0.0029009071203665595
SPHD,0.049259397275704636,0.012678410785535891
USIG,0.03819174830344322,0.000903290873528584
FNDA,0.052693503900611484,0.020692222881745843
GBIL,0.01655474603420158,1.1195125451430083e-05
VLUE,0.06202026098666077,0.021341207430145476
SHYG,0.03504104779865852,0.001145269247482325
AMJ,-0.004757966302387044,0.03974794782836875
DXJ,0.0019573248452478638,0.02906264303753196
VCR,0.11030764841255615,0.02580905269301079
XLRE,0.10743334351351336,0.01860499260642245
EWT,0.018559306847674394,0.028731538545347303
TFI,0.03215418754252585,0.0006015458545012728
IGF,0.03169630318585398,0.00961133661902469
HYLB,0.03648460188836407,0.0017569694765903097
IGV,0.21500511377391607,0.047072116984463
HEFA,0.04336978345886176,0.014390717402055653
XMLV,0.1020490484309441,0.01141571836620404
LMBS,0.02069587141176509,9.722613573033697e-05
HYD,0.2978899829195257,0.6264107049410175
FBT,0.1331594479212538,0.06068666183206098
RPG,0.11036905549819141,0.02782183286130047
SPEM,0.046452739875096086,0.028395716705740752
ISTB,0.0220140399827867,0.00017386427491694546
SPYV,0.06791112680014247,0.016265572603133445
DGRW,0.09785188006055306,0.018143116103348074
VOOG,0.12870258153551178,0.024687310587612973
VONG,0.13340513197874657,0.02627503881791702
EWC,0.05392120943825662,0.015312682253136159
EWG,-0.02627747931975342,0.024481853534953784
EPP,0.06393009811826061,0.01674124406132271
GSY,0.024693568007549904,1.6682852995509208e-05
IXN,0.13651232927809584,0.03920582904471221
USFR,0.018026025048399084,0.0001643064562880317
RWR,0.07588767555148958,0.020341908459530218
EMLP,0.041353354808154906,0.013345937551657375
MGV,0.09477116412027674,0.016559164595996004
FV,0.09063845145514295,0.03467223348416837
EWH,0.05984761607393209,0.02227296936739725
QTEC,0.12393261368899239,0.04557932460434634
SPLG,0.10152683326814259,0.01943330242036328
FNDE,0.05445025571967639,0.02748957035027881
BOND,0.03382553863160616,0.0005587898655041282
